"Nazwa Modelu/Techniki","Typ","Opis","Przykład Zastosowania","Źródło","Weryfikacja","Unikalność","Powiązania z typami DISC","Zalecana waga"
"Lead Scoring Model","Scoring","Algorytm oceniający prawdopodobieństwo zakupu na podstawie zachowań (np. jazda próbna, pytania o finansowanie) i danych demograficznych.","Przedsiębiorca z instalacją PV + konkretne pytania o model Y = 85% szansy na konwersję.","Segmentacja klientów Tesla...txt, Rewolucja AI w Sprzedaży...txt","Wysoka (standard w zaawansowanej sprzedaży)","Wysoka","Wszystkie","10"
"Analiza Sentymentu Rozmowy (NLP)","NLP/Analiza Emocji","Wykrywanie nastawienia klienta (pozytywne/negatywne/neutralne) na podstawie automatycznej analizy transkrypcji rozmowy telefonicznej.","Tekst: 'Auto super, ale cena mnie martwi' -> Sentyment: Mieszany/Neutralny. Pozwala na identyfikację kluczowych obiekcji.","Realne rozpoznawanie intencji...txt","Wysoka (dostępna technologia NLP)","Wysoka","Wszystkie","9"
"Rozpoznawanie Intencji (Intent Detection)","NLP","Automatyczna klasyfikacja celu wypowiedzi klienta (np. 'Zapytanie o informacje', 'Wyrażenie obiekcji', 'Gotowość do zakupu') na podstawie analizy treści.","Wypowiedź: 'Jakie macie opcje leasingu?' -> Intencja: 'Gotowość do zakupu' (wysoki sygnał).","Realne rozpoznawanie intencji...txt","Wysoka (dostępna technologia NLP)","Wysoka","Wszystkie","10"
"Analiza Behawioralna Głosu","Analiza Audio/Behawioralna","Analiza paralingwistycznych aspektów mowy (ton, tempo, pauzy), aby wykryć wahanie, pewność siebie lub irytację klienta.","Długa pauza klienta po podaniu ceny -> Sygnał: 'Wahanie/obiekcja cenowa', wymaga proaktywnej reakcji sprzedawcy.","Realne rozpoznawanie intencji...txt","Wysoka (zaawansowana technologia CI)","Wysoka","Wszystkie","9"
"Model Predykcji Odejść (Churn Prediction)","Model predykcyjny","Identyfikacja klientów, którzy z dużym prawdopodobieństwem zrezygnują z usług serwisowych lub nie dokonają kolejnego zakupu.","Analiza danych serwisowych i telematycznych w celu proaktywnego kontaktu z klientem zagrożonym odejściem.","Rewolucja AI w Sprzedaży...txt (case Salesforce)","Wysoka (standard w dojrzałych organizacjach)","Wysoka","Wszystkie","8"
"Rekomendacje 'Next-Best-Action'","Silnik regułowy/AI","System w czasie rzeczywistym sugeruje sprzedawcy optymalne następne działanie w rozmowie na podstawie wykrytych intencji i sentymentu.","Wykryto obiekcję 'zasięg zimą' -> System podpowiada: 'Użyj danych z tabeli, zaproponuj jazdę próbną'.","Realne rozpoznawanie intencji...txt","Wysoka (zaawansowana technologia CI)","Wysoka","Wszystkie","10"
"Wizualizacje w stylu Palantir (Grafy relacji)","Wizualizacja Danych","Interaktywna sieć (graph) ukazująca powiązania między klientami, ich obiekcjami, a wynikiem sprzedaży, co pozwala identyfikować wzorce.","Graf pokazuje, że klienci podnoszący kwestię 'zasięgu' i 'ceny' jednocześnie, rzadziej konwertują bez oferty specjalnej.","Predykcyjne modelowanie...txt","Wysoka (koncepcja z Palantir)","Wysoka","C, D, S","8"
"Heatmapy Konwersji","Wizualizacja Danych","Mapy cieplne prezentujące współczynnik konwersji w przekroju terytorialnym lub demograficznym, co pozwala identyfikować 'gorące' i 'zimne' strefy.","Heatmapa Polski pokazuje, że konwersja w Warszawie jest o 30% wyższa niż w regionach z mniejszą infrastrukturą.","Predykcyjne modelowanie...txt","Wysoka (standard w BI)","Średnia","Wszystkie","7"
"Profile 360° Klientów","Integracja Danych","Zintegrowany widok łączący dane z wielu źródeł (CRM, social media, historia serwisowa) dla pojedynczego klienta, wraz z oceną AI (np. 'szansa zakupu: 72%').","Handlowiec przed rozmową widzi, że klient czytał o Modelu 3 i martwił się zasięgiem, więc może przygotować odpowiednie argumenty.","Predykcyjne modelowanie...txt","Wysoka (kluczowy element nowoczesnego CRM)","Wysoka","Wszystkie","10"
"Automatyczna Transkrypcja Rozmów (ASR)","NLP","Wykorzystanie modeli AI (np. OpenAI Whisper) do automatycznej i dokładnej transkrypcji rozmów telefonicznych na tekst, co jest podstawą dalszych analiz.","Nagranie rozmowy jest automatycznie zamieniane na tekst z podziałem na mówców, gotowy do analizy sentymentu i intencji.","Realne rozpoznawanie intencji...txt","Wysoka (dojrzała technologia)","Średnia","Brak","9"
