archetype_id,archetype_name,disc_mix,content_type,subtype_tag,primary_motivation,underlying_fear,top_objection,secondary_objection,key_triggers_ids,recommended_opening_line,argument_stack_soft,argument_stack_medium,argument_stack_strong,social_proof_asset,roi_tco_hook,feature_priority_hint,next_best_question,follow_up_recommendation,emotional_valence_label,optimal_sequence_position,expected_momentum_effect,contextual_weight_hint,conversion_closure_phrase,market_scope,country,data_source_note
1,Green Pioneer Family,S+I,opening,eco_family,Obniżyć ślad CO2 i koszty paliwa,Technologia szybko się zestarzeje,"Jak długo baterie zachowają pełen zasięg?","Czy w górach znajdę ładowarkę?",env_benefit;range_anxiety,"Czy wyobrażają sobie Państwo wakacje bez spalin i tankowania?",NA,NA,NA,case_study_PL_rodzina_PV,"~350 PLN/mies. oszczędności","zasięg 500 km, PV-ready, aplikacja Tesla","Ile km miesięcznie pokonują Państwo wspólnie?","PDF kalkulator CO2/TCO rodzinny",curious,early,raise,2,"Podpiszmy, by kolejny wyjazd był już neutralny klimatycznie.",PL,NA,PSNM_Barometr_2024
1,Green Pioneer Family,S+I,feature_argument,sustainability,Maksymalne wykorzystanie zielonej energii,Koszt instalacji ładowarki domowej,"Czy PV + Tesla to skomplikowany projekt?","Czy gwarancja obejmie połączenie?",pv_interest;home_charging,"Wyobraźmy sobie garaż, w którym słońce ładuje auto za darmo.","WallConnector 11 kW ładuje nocą za ok. 18 zł.","PV obniża koszt 100 km do ~5 zł.","ROI PV+Wallbox 6-7 lat przy 20 tys. km/rok.",case_study_PVhome_Krynica,"100 km ≈5 zł z PV","WallConnector, SmartCharge, OTA","Czy rozważają Państwo montaż paneli?","Checklist instalacji 11 kW PDF",excited,mid,raise,2,"Wykorzystajmy darmową energię słońca w każdej podróży.",PL,NA,NFOŚiGW_Wallbox
1,Green Pioneer Family,S+I,objection_handling,battery_lifespan,Zachowanie wartości auta,Spadek pojemności baterii,"Bateria padnie po 8 latach i koszt wymiany zabije budżet.","Używane Tesle tracą na zasięgu.",battery_worry;resale_value,"Rozumiem obawę o żywotność ogniw, to częste pytanie.","Gwarancja 8 lat/160 000 km.","Średni spadek po 240 000 km tylko 12%.","Wymiana modułu <30% ceny nowej baterii; dostępne 6 serwisów HV.",ranking_reliability_EVbattery,"0,07 zł/km na 10 lat","BMS, OTA Battery Health","Ile km rocznie chcą Państwo przejeżdżać?","Raport degradacji Tesloop PL",anxious,mid,neutral,1,"Bateria będzie służyć dłużej niż większość silników spalinowych.",PL,NA,Tesloop_Study
1,Green Pioneer Family,S+I,trigger_response,gov_subsidy,Obniżyć cenę zakupu,Program może się zamknąć,"Czy dotacja NaszEauto wystarczy na Model Y?","Co, jeśli budżet programu się wyczerpie?",budget_dotacje;time_pressure,"Do końca miesiąca pula NaszEauto jest jeszcze otwarta.","Dotacja do 40 000 zł obniża cenę Model Y RWD do 164 990 zł.","Limit 225 000 zł netto kwalifikuje wersję RWD.","Rezerwujemy VIN, wniosek przechodzi w 48 h.",gov_announcement_2025_subsidy,"-40 tys. zł dziś","Model Y RWD, konfigurator gotowy","Zakup czy leasing będzie wygodniejszy?","Instrukcja wniosku NaszEauto PDF",hopeful,mid,raise,1,"Zabezpieczmy dotację, zanim pula się zamknie.",PL,NA,NaszEauto_2025
1,Green Pioneer Family,S+I,follow_up,tco_report,Pełen obraz wydatków,Niespodziewane koszty serwisu,"Serwis Tesli jest drogi i daleko.","Ubezpieczenie będzie wyższe.",maintenance_cost;tco_uncertainty,"Przesyłam kalkulator kosztów prąd vs paliwo.","Brak wymiany oleju; klocki zużywają się wolniej.","Przeglądy opcjonalne; średnio 400 zł/rok.","5-letni TCO niższy o ~18% vs SUV benz. 200 KM.",Excel_TCO_PL_SUV,"25 000 zł oszcz./5 lat","OTA diagnostyka, regen hamowanie","Który koszt w kalkulatorze zaskoczył najbardziej?","Umówienie video-call TCO",analytical,late,raise,1,"Kiedy przejdziemy przez kalkulator, decyzja staje się oczywista.",PL,NA,Dealer_TCO_Data
1,Green Pioneer Family,S+I,closing,family_commit,Finalna decyzja eko,Obawa przed zobowiązaniem,"Muszę omówić z rodziną.","Może poczekamy na tańszy model?",decision_delay;price_hunt,"Rozumiem, to ważna decyzja dla całej rodziny.","Oferta i dotacja ważne 7 dni.","Miesiąc zwłoki to 350 PLN utraconych oszczędności.","Rezerwacja VIN jest zwrotna—zero ryzyka.",feedback_rodzina_Tesla_pl,"1 rok zwrotu dopłaty","5* NCAP, Autopilot family","Czy mogę zarezerwować VIN na Państwa nazwisko?","Mail z rezerwacją i cennikiem",decisive,late,raise,2,"Kliknijmy „Zamów”, a zielona przyszłość stanie się faktem.",PL,NA,Sprzedawca_PL
2,Safety-First Parents,S+C,opening,safety_kids,Chronić dzieci w każdej podróży,Boją się pożaru akumulatora,"Czy elektryk jest bezpieczny przy kolizji?","Jak zachowuje się bateria zimą?",family_safety;fire_risk,"Czy wie Pan(i), że Tesla ma 5★ Euro NCAP i najniższe ryzyko pożaru w klasie?",NA,NA,NA,ranking_NCAP_5star,"Ubezp. AC bez zwyżki","bezpieczeństwo 5*, kamer 360°","Które systemy aktywnego wsparcia cenią Państwo najbardziej?","Video crash-test NCAP",anxious,early,raise,2,"Zacznijmy od oględzin stref bezpieczeństwa i wspólnego testu fotelików.",PL,NA,EuroNCAP_2024
2,Safety-First Parents,S+C,feature_argument,assist_family,Najlepsze systemy ADAS,Nadmierna wiara w elektronike,"Czy autopilot sam zareaguje na dziecko na drodze?","Co jeśli system się zawiesi?",tech_skeptic;child_safety,"Zróbmy szybki pokaz awaryjnego hamowania.","Radar+kamery reagują 0,1 s szybciej niż człowiek.","Frenado 0-100 km/h 34 m vs 39 m w segmencie.","OTA aktualizacje zwiększają skuteczność ADAS co kwartał.",demo_video_AEB,"+5 m krótsza droga hamowania","AEB, Pedestrian Alert, Sentry","Czy chcą Państwo przejechać odcinek testowy?",PDF ADAS update,curious,mid,raise,2,"Bezpieczniej już dziś, a z OTA coraz lepiej każdego roku.",PL,NA,ADAS_Test_PL
2,Safety-First Parents,S+C,objection_handling,fire_risk,Ochrona rodziny po wypadku,Obawa przed pożarem HV,"Słyszałem o płonących akumulatorach.","Strażacy podobno boją się EV.",fire_risk;media_noise,"Rozumiem nagłówki; przyjrzyjmy się liczbom.","EV pożary 11× rzadsze niż benzynowe wg PSP.","Bateria ma zawory odcinające i czujniki 24/7.","Tesla dostarcza straży instrukcje VR; czas gaszenia <7 min.",PSP_statystyka_2024,"11× mniej pożarów/100 000 aut","Battery Shield, wzmocniony floor","Czy mają Państwo gaśnicę w obecnym aucie?","Infografika PSP vs ICE",skeptical,mid,neutral,1,"Liczby pokazują: ryzyko jest realnie niższe niż w autach spalinowych.",PL,NA,PSP_raport
